'FECHA';'COMERCIO/CAJERO';'IMPORTE';'MONEDA';'CONCEPTO';'ESTADO';'SEQ';'Clave_Concepto';'Categoria';'Subcategoria';'Fijo_Variable'
29/06/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';771;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
29/06/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';772;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
29/06/2016;'CAFET.C T PRAT\PR';-3,65 €;'EUROS';'Compras.';'PAGADO';773;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
29/06/2016;'TABASA VALLVI S. C:2T';-3,70 €;'EUROS';'Compras.';'PAGADO';774;'TABASA';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
29/06/2016;'BON AREA';-12,85 €;'EUROS';'Compras.';'PAGADO';775;'BON';'Gastos_Compras';'Supermercado';'VARIABLES'
30/06/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';776;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
30/06/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';777;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
30/06/2016;'CAFET.C T PRAT\PR';-2,25 €;'EUROS';'Compras.';'PAGADO';778;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
30/06/2016;'BON AREA';-12,35 €;'EUROS';'Compras.';'PAGADO';779;'BON';'Gastos_Compras';'Supermercado';'VARIABLES'
01/07/2016;'AUTOPISTAS TER\CAN SERRA I';-1,38 €;'EUROS';'Compras.';'PAGADO';780;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
01/07/2016;'AUTOPISTAS TER\CAN SERRA I';-1,38 €;'EUROS';'Compras.';'PAGADO';781;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
